contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,type
TSLA250703C00292500,2025-06-27 19:58:28+00:00,292.5,32.52,32.45,33.0,-5.029999,-13.395471,1431.0,197.0,0.6752962158203126,True,REGULAR,USD,call
TSLA250703C00295000,2025-06-27 19:47:02+00:00,295.0,30.2,30.15,30.65,-4.7299995,-13.541368,394.0,499.0,0.6550327465820314,True,REGULAR,USD,call
TSLA250703C00297500,2025-06-27 19:58:28+00:00,297.5,28.02,27.95,28.6,-4.029999,-12.574099,1555.0,224.0,0.653445848388672,True,REGULAR,USD,call
TSLA250703C00300000,2025-06-27 19:59:17+00:00,300.0,26.1,25.8,26.45,-2.4499989,-8.581432,2731.0,4508.0,0.6438023901367188,True,REGULAR,USD,call
TSLA250703C00302500,2025-06-27 19:51:24+00:00,302.5,23.85,23.8,24.4,-2.3999996,-9.142856,919.0,479.0,0.64062859375,True,REGULAR,USD,call
TSLA250703C00305000,2025-06-27 19:59:59+00:00,305.0,22.0,21.85,22.25,-4.049999,-15.547022,1435.0,1222.0,0.6300085827636719,True,REGULAR,USD,call
TSLA250703C00307500,2025-06-27 19:59:59+00:00,307.5,20.05,19.9,20.35,-2.25,-10.089686,1369.0,512.0,0.6242713354492189,True,REGULAR,USD,call
TSLA250703C00310000,2025-06-27 19:59:57+00:00,310.0,18.15,18.05,18.4,-2.25,-11.029412,2971.0,1008.0,0.6149940844726562,True,REGULAR,USD,call
TSLA250703C00312500,2025-06-27 19:59:59+00:00,312.5,16.45,16.3,16.6,-2.8999996,-14.987079,1629.0,513.0,0.6091347680664063,True,REGULAR,USD,call
TSLA250703C00315000,2025-06-27 19:56:10+00:00,315.0,14.7,14.65,14.95,-2.500001,-14.534889,2449.0,1130.0,0.6058389025878907,True,REGULAR,USD,call
TSLA250703C00317500,2025-06-27 19:59:52+00:00,317.5,13.2,13.05,13.35,-2.1999998,-14.285713,4977.0,615.0,0.5998575170898439,True,REGULAR,USD,call
TSLA250703C00320000,2025-06-27 19:59:57+00:00,320.0,11.65,11.6,11.85,-2.1000004,-15.272731,24229.0,2837.0,0.59570716796875,True,REGULAR,USD,call
TSLA250703C00322500,2025-06-27 19:59:57+00:00,322.5,10.31,10.3,10.5,-2.1399994,-17.18875,12533.0,1278.0,0.594730615234375,True,REGULAR,USD,call
TSLA250703C00325000,2025-06-27 19:59:58+00:00,325.0,9.1,9.05,9.25,-2.0,-18.018017,30316.0,3290.0,0.5920450952148439,False,REGULAR,USD,call
TSLA250703C00327500,2025-06-27 19:59:41+00:00,327.5,8.0,7.95,8.1,-1.8000002,-18.367348,16327.0,2047.0,0.590946473388672,False,REGULAR,USD,call
TSLA250703C00330000,2025-06-27 19:59:58+00:00,330.0,7.05,6.95,7.1,-1.6499996,-18.965513,28074.0,6602.0,0.5914347497558594,False,REGULAR,USD,call
TSLA250703C00332500,2025-06-27 19:59:51+00:00,332.5,6.2,6.05,6.3,-1.5500002,-20.000002,5000.0,1874.0,0.5954630297851562,False,REGULAR,USD,call
TSLA250703C00335000,2025-06-27 19:59:59+00:00,335.0,5.35,5.25,5.4,-1.4500003,-21.323534,22622.0,2949.0,0.5937540625000001,False,REGULAR,USD,call
TSLA250703C00337500,2025-06-27 19:59:59+00:00,337.5,4.55,4.55,4.65,-1.3999996,-23.529406,13112.0,1412.0,0.5944864770507813,False,REGULAR,USD,call
TSLA250703C00340000,2025-06-27 19:59:59+00:00,340.0,3.95,3.95,4.05,-1.2,-23.300972,20496.0,8429.0,0.5985147570800782,False,REGULAR,USD,call
TSLA250703C00342500,2025-06-27 19:59:45+00:00,342.5,3.45,3.4,3.55,-1.05,-23.333332,3699.0,9552.0,0.6030313134765627,False,REGULAR,USD,call
TSLA250703C00345000,2025-06-27 19:59:59+00:00,345.0,2.98,2.97,3.05,-0.9200001,-23.589745,9559.0,8504.0,0.6071816625976563,False,REGULAR,USD,call
TSLA250703C00347500,2025-06-27 19:59:45+00:00,347.5,2.64,2.57,2.74,-0.8599999,-24.571426,3349.0,9146.0,0.6160927062988282,False,REGULAR,USD,call
TSLA250703C00350000,2025-06-27 19:59:59+00:00,350.0,2.28,2.23,2.28,-0.72,-24.0,29921.0,14444.0,0.6167030517578126,False,REGULAR,USD,call
TSLA250703C00352500,2025-06-27 19:58:43+00:00,352.5,1.94,1.94,1.99,-0.72,-27.06767,2524.0,1796.0,0.62305064453125,False,REGULAR,USD,call
TSLA250703C00355000,2025-06-27 19:59:56+00:00,355.0,1.71,1.69,1.75,-0.5899999,-25.65217,8513.0,4672.0,0.6306189282226562,False,REGULAR,USD,call
TSLA250703C00357500,2025-06-27 19:59:52+00:00,357.5,1.5,1.47,1.51,-0.5,-25.0,2206.0,1894.0,0.6359899682617188,False,REGULAR,USD,call
TSLA250703C00360000,2025-06-27 19:59:57+00:00,360.0,1.31,1.29,1.32,-0.42000008,-24.27746,19692.0,7065.0,0.6433141137695313,False,REGULAR,USD,call
TSLA250703C00362500,2025-06-27 19:59:52+00:00,362.5,1.15,1.13,1.16,-0.38,-24.836601,1846.0,1184.0,0.6508823974609376,False,REGULAR,USD,call
TSLA250703C00365000,2025-06-27 19:59:51+00:00,365.0,1.01,1.0,1.02,-0.32000005,-24.060154,5103.0,8027.0,0.659183095703125,False,REGULAR,USD,call
TSLA250703C00367500,2025-06-27 19:59:57+00:00,367.5,0.88,0.88,0.9,-0.33000004,-27.272732,1163.0,6815.0,0.6669955175781253,False,REGULAR,USD,call
TSLA250703C00370000,2025-06-27 19:59:25+00:00,370.0,0.76,0.78,0.8,-0.27999997,-26.923075,4885.0,10675.0,0.6755403540039064,False,REGULAR,USD,call
TSLA250703C00372500,2025-06-27 19:59:50+00:00,372.5,0.7,0.69,0.72,-0.21000004,-23.076925,532.0,924.0,0.6848176049804688,False,REGULAR,USD,call
TSLA250703C00375000,2025-06-27 19:59:57+00:00,375.0,0.63,0.62,0.64,-0.17000002,-21.250002,3168.0,4357.0,0.6938507177734375,False,REGULAR,USD,call
TSLA250703C00380000,2025-06-27 19:59:59+00:00,380.0,0.49,0.49,0.51,-0.14999998,-23.437496,11629.0,11674.0,0.7104521142578125,False,REGULAR,USD,call
TSLA250703C00385000,2025-06-27 19:59:28+00:00,385.0,0.39,0.39,0.42,-0.120000005,-23.529413,2286.0,1900.0,0.72851833984375,False,REGULAR,USD,call
TSLA250703C00390000,2025-06-27 19:57:15+00:00,390.0,0.32,0.32,0.34,-0.06999999,-17.948717,2195.0,3299.0,0.7460962890625,False,REGULAR,USD,call
TSLA250703C00395000,2025-06-27 19:58:49+00:00,395.0,0.28,0.26,0.28,-0.050000012,-15.151519,1397.0,1531.0,0.76367423828125,False,REGULAR,USD,call
TSLA250703C00400000,2025-06-27 19:59:54+00:00,400.0,0.22,0.22,0.23,-0.050000012,-18.518522,10123.0,14313.0,0.782228740234375,False,REGULAR,USD,call
TSLA250703C00405000,2025-06-27 19:59:20+00:00,405.0,0.18,0.17,0.2,-0.03999999,-18.181814,455.0,1322.0,0.797853583984375,False,REGULAR,USD,call
TSLA250703C00410000,2025-06-27 19:59:57+00:00,410.0,0.14,0.14,0.16,-0.049999997,-26.315788,1724.0,1717.0,0.8115253222656249,False,REGULAR,USD,call
